,Unnamed: 0,Channel_name,Description,Subscribers,Views,Total_videos,Playlist_id
10,10,Aaron Jack / Freemote,"Freemote Bootcamp by Aaron Jack -- 
The Bootcamp that lets you start EARNING as you LEARN TO CODE!

Check out our website & reviews
https://freemote.com
https://www.trustpilot.com/review/freemote.com

Freemote's Social Media (more free content!)
https://instagram.com/freemotebootcamp
https://facebook.com/freemotebootcamp
https://twitter.com/freemote1

Aaron Jack's Social Media
https://instagram.com/aaronjack
https://twitter.com/_aaronjack
",301000,14665655,91,UURLEADhMcb8WUdnQ5_Alk7g
11,11,Nicholas T.,"tech from a computer science student’s perspective

instagram: https://www.instagram.com/itsnicholas.t/
discord: https://discord.gg/tgMdKVBfzU
",125000,10184712,25,UUzSc8bhRKEKe7xEGp-5LWAg
12,12,Aurelius Tjin,"Hey there 👋 On this channel I share tips, tutorials, and useful tools to help you become a productive digital creator!

NEW VIDEO WEEKLY!

SOCIALS:
Instagram and Twitter: @aureliustjin
Website: https://www.AureliusTjin.com

For business inquiries including sponsorships and collaborations, please email:
partnerships@aureliustjin.com

For everything else: aurelius@aureliustjin.com
",262000,10352391,213,UUTs3VX60I6EKrrwdkgrwCGQ
13,13,Chandoo,"I make videos on Excel, Power BI  & Data Analytics so that you can be awesome at your work.

My vision is to help 1 million people every month.

New videos are uploaded every Tuesday & sometimes on Thursdays too. 
I do a live stream on last Sunday of the month on an advanced topic.

~ I use Excel 365 and Latest version of Power BI in my videos.

Join the fun by subscribing.

💻📗👉 For more advanced training, check out my Excel School program - https://chandoo.org/wp/excel-school-program/
",262000,19363603,372,UU8uU_wruBMHeeRma49dtZKA
14,14,William Lin,"I am tmwilliamlin168, a competitive programmer, a sophomore at MIT into startups, and I make random videos
IOI 2020 Winner
Codeforces Max Rating 2931 (International Grandmaster)
CodeChef Max Rating 2916 (7 stars)

",334000,20919165,118,UUKuDLsO0Wwef53qdHPjbU2Q
15,15,Charlie Chang,"My name is Charlie -- I am a 29-year-old entrepreneur based in Southern California. I run multiple businesses ranging from E-commerce to my own real estate brokerage, and I originate mortgages as well. In the past, I've done modeling, photography, and pretty much everything under the sun.

I make videos about personal finance, earning money online, investing, productivity, real estate, and entrepreneurship. I am a huge proponent of self-employment and building up multiple streams of income. If this interests you, please subscribe to my channel to learn more!
",720000,31826144,272,UUTQuKo8v0PaPCvk5aRxc_Yg
16,16,Frying Pan,"hi my name is pan and I make vlogs and skits.

I post about whatever I find helpful or entertaining in my life.
I'm currently studying computer science in university and interning as a SWE at a big tech company.

I love good stories and funny content.

new video every 2 weeks and I'm live weekly on twitch:)
",263000,18583994,22,UUfeMEuhdUtxtaUMNSvxq_Xg
17,17,Dennis Ivy,"Sharing what I know about Full Stack Web development with the primary Focus being Python, Django & Javascript at the time. I will be creating Project based tutorials for these Languages/Frameworks/Libraries along with sharing my personal experience.",165000,12256507,167,UUTZRcDjjkVajGL6wd76UnGg
18,18,David Bombal,"Want to learn about IT? Want to get ahead in your career?  Well, this is the right place! 

On this channel, I discuss Linux, Python, Ethical Hacking, Networking, CCNA, Virtualization and other IT related topics.
   
This YouTube channel has new videos every week! Subscribe for technical, detailed, no fluff content.

Are you interested in sponsoring me? Email: sponsor@davidbombal.com 

David’s details:
Discord: https://discord.com/invite/usKSyzb
Twitter: https://www.twitter.com/davidbombal 
Instagram: https://www.instagram.com/davidbombal 
LinkedIn: https://www.linkedin.com/in/davidbombal 
Facebook: https://www.facebook.com/davidbombal.co 
Website: http://www.davidbombal.com  
YouTube: https://www.youtube.com/davidbombal 

All the best!
David",1040000,52368041,1207,UUP7WmQ_U4GB3K51Od9QvM0w
19,19,Clément Mihailescu,"I'm an Ex-Google Software Engineer, an Ex-Facebook Software Engineer, and the CEO and co-founder of AlgoExpert (algoexpert.io), a website that helps Software Engineers prepare for coding interviews.

After graduating with a degree in Mathematics from the University of Pennsylvania in May 2016, I decided to learn programming and to enroll in Fullstack Academy, an immersive coding bootcamp in New York City. While there, I fell in love with full-stack development and algorithm analysis. Upon completion of the program, I dove deeper into the field of algorithms and aced the Google interviews. The frustration that I felt during my interview prep led me to creating AlgoExpert.

This YouTube channel is the outlet for all my thoughts on tech, entrepreneurship, and random miscellanea!",471000,61389899,235,UUaO6VoaYJv4kS-TQO_M-N_g
20,20,Keep On Coding,"Coding in a nutshell. Programming tutorials, experiences in the tech industry, and attempting to be funny once in a while.",251000,21245140,134,UUsLo154Krjwhoz8W00N8ItA
0,0,studyquill,"hey, i'm jasmine!! i'm a ucla freshie and i post about student life. brew a cup of tea and take a study break with me 💖",1120000,79104350,340,UU-ZQaezPlUTe94-7buWtIfA
1,1,TabberNoSpaces,,180,14974,7,UU1N6atBsLvbbwMmsm8lwYLA
2,2,Leila Gharani,"Welcome! It's great to have you here!
I share videos related to Office Productivity. 
My goal is to help you save time so you can spend it on the activities that matter. 
I create videos on:
- Microsoft Excel, PowerPoint, VBA, OneNote, and other Office Products
- Google Sheets 
- Accounting & Finance

I love to learn new tools and techniques and share these with you. I hope to inspire you to experiment and share with others.

My background: MA in economics / Economist / Business Consultant / Accounting Systems Expert / Oracle & SAP implementations (for Finance) / Teacher & Microsoft MVP

Subscribe if you'd like to improve your skills.

New video every Thursday - with frequent bonus videos on Tuesdays. 

Don't forget to get my free top 10 formulas e-book from https://www.xelplus.com/free-ebook/

➹ ➹ My Online Excel Courses ➹ ➹ 

The complete list of my courses: https://www.xelplus.com/courses/

More info & updates from me: pages.xelplus.com/links
",1790000,149411978,452,UUJtUOos_MwJa_Ewii-R3cJA
3,3,The Art of Improvement,"I make videos on this channel to help you learn how you can better yourself, how to be more productive and how to take care of yourself - basically anything about self-improvement.

If you would like to join the Art of Improvement email list and receive the full illustrations from my videos every two weeks, head over to: https://email.artofimprovement.co.uk/
",790000,43106779,227,UUtYzVCmNxrshH4_bPO_-Y-A
4,4,PwnFunction,I make Animated Computer Science Videos.,174000,5093925,19,UUW6MNdOsqv2E9AjQkv9we7A
5,5,AmandaRachLee,"Making my way through life with a pencil in hand and creativity in mind. Subscribe for new videos every week!

Instagram: http://instagram.com/amandarachlee
Twitter: https://twitter.com/amandarachlee
Facebook: https://www.facebook.com/amandarachlee/
TikTok: @amandarachlee
Website: https://www.amandarachlee.com/

Business Inquiries: business@amandarachlee.com

PO BOX:
Amanda Lee
PO Box 152, Toronto B 
Toronto, ON
M5T 2T3",2140000,196779199,460,UUk9aeo2A6a1fg3VeRueTn9w
6,6,Vincent Chan,"Hi, I'm Vincent! I left Wall Street to help Main Street. My mission is to make finance fun and easy.
",461000,16000839,49,UUPa0bvFsR1mbBpk5mIPFGLA
7,7,Leon Hendrix,"This channel is for those who want to achieve their most meaningful goals to live without regrets.

🚀 Join our team - we're hiring:
https://collectiveambition.co/

_______________

Business inquiries: contact@collectiveambition.co

📕 Download The 12 Journaling Exercises That Changed My Life:
https://bit.ly/leonsjournal

📸 Follow me on IG (@leonjhendrix)
https://www.instagram.com/leonjhendrix/
",356000,19897834,32,UUTvRcHO5jJ_JKcekLacLMuQ
8,8,Krish Naik,"I am the cofounder of iNeuron and my experience is pioneering in machine learning, deep learning, and computer vision,an educator, and a mentor, with over 10 years' experience in the industry. This is my YouTube channel where I explain various topics on machine learning, deep learning, and AI with many real-world problem scenarios. I have delivered over 30 tech talks on data science, machine learning, and AI at various meet-ups, technical institutions, and community-arranged forums. My main aim is to make everyone familiar of ML and AI.Please subscribe and support the channel. As i love new technology, all these videos are free and I promise to make more interesting content as we go ahead.
For any collaboration drop me a mail at krishnaik06@gmail.com

Please free to drop a mail for Product unboxing, GPU's unboxing and any other collaboration",611000,57623806,1443,UUNU_lfiiWBdtULKOw6X0Dig
9,9,Colors of Chloe,"hello 大家好!
i'm chloe and i'm from LA (626 wuddup). went to school at the claremont colleges and columbia university for engineering. i lived in the SF bay area for most of my adulthood, but am now in LA. i share videos about my ordinary home life, working life, and just life life. 

i started off as a career channel, so if you really wanna kno...i previously worked at google, facebook, tiktok, startups, and now at discord ! i work for ceo wungus. ( ͡° ͜ʖ ͡°)

insta: https://www.instagram.com/thechlobro
twitch: https://www.twitch.tv/colorsofchloe ⬅ I stream coworking sessions every week!
twitter: https://twitter.com/colorsofchloe
tiktok: https://www.tiktok.com/@colorsofchloe

business inquiries → business@colorsofchloe.com

all opinions are my own and don't reflect my employers.
",47100,1688013,64,UUC5zwcadCvNiNm5JCe7hjAQ
10,10,Veritasium,"An element of truth - videos about science, education, and anything else I find interesting.",12300000,1742450365,335,UUHnyfMqiRRG1u-2MsSQLbXA
11,11,Data Professor,"Data Science, Machine Learning, Bioinformatics, Research and Teaching are my passion. The Data Professor YouTube channel is an extension of my passion in helping students and data enthusiast learn about Data Science and how it can be used to make sense of data. This channel provides Data Science contents consisting of explainer videos and practical tutorials.

Chanin Nantasenamat, Ph.D. is an Associate Professor of Bioinformatics at a Research University where he leads a research laboratory that harnesses data science for unraveling the hidden knowledge of big data in medicine. Chanin has more than 15 years of experience in data science (as applied to bioinformatics) and has published more than 100 research articles, review articles and book chapters.

If you are fascinated about data science, it would mean the world to me if you would consider subscribing to this channel (by clicking the link below):
http://bit.ly/dataprofessor

รศ.ดร.ชนินทร์ นันทเสนามาตร์",128000,3252417,286,UUV8e2g4IWQqK71bbzGDEI4Q
12,12,Lavendaire,"Hi, I'm Aileen! Lavendaire is a channel about personal growth + lifestyle design, where I share knowledge and inspiration about creating your dream life. ✨

Lavendaire is for the dreamers who believe. For those who are smart, curious, and conscious, with an open mind, a love for learning, and a deep desire to live a brilliant and vibrant life. 

In short, Lavendaire is for the artist of life.

//  Life is an art. Make it your masterpiece.  // 


💝 Shop Lavendaire | http://lavendaire.com/shop
🌸 Listen to my podcast: http://lavendaire.com/llpodcast
💌 Join my email list: http://lavendaire.com/mail

Connect:
▸ website | http://lavendaire.com
▸ instagram | http://instagram.com/lavendaire
▸ tiktok | http://tiktok.com/@lavendaire
▸ facebook | http://facebook.com/lavendaire
▸ twitter | http://twitter.com/lavendaire

Business inquiries ONLY: mgmt@lavendaire.com

Mailbox: 

Aileen Xu
PO Box 296
Brea, CA 92822",1750000,134143792,639,UU-ga3onzHSJFAGsIebtVeBg
13,13,Sam Lui,"Welcome to my channel!

I recently graduated from college and wanted to try my hand at content creation.

I'd like to publish content anything related to self-improvement, personal finance, career, navigating life after college, and more. If you're interested in any of these topics or just want to watch me make a fool of myself on camera, feel free to tune in.

Disclaimer: My videos are for entertainment purposes only. Please don't sue me.

Follow My YouTube Journey!
0 subscribers - 1/17/2021
100 subscribers - 7/3/2021
500 subscribers - 7/23/2021
1,000 subscribers - 7/29/2021
5,000 subscribers - 8/6/2021
10,000 subscribers - 8/23/2021
",26500,1568862,71,UUMAldwFJLpra2Pt-DF36MCA
14,14,ColdFusion,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here.
This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere.
Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.

--- New Thinking Book written by Dagogo Altraide ---
Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority!
Audio Book: https://goo.gl/p8auh3
Get the book on Amazon US: http://bit.ly/NewThinkingbook
Amazon India Link: https://goo.gl/qJCC1T
Amazon UK link: https://goo.gl/RBxisf
Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay

MERCH:

INTERNATIONAL: https://store.coldfusioncollective.com/
AUSTRALIA: https://shop.coldfusioncollective.com/

Contact | *Business ONLY* dagogo@coldfusioncollective.com

Join the fun on instagram: 

@ColdFusiontv

Facebook | www.facebook.com/coldfusiontv",3560000,353206405,429,UU4QZ_LsYcvcq7qOsOhpAX4A
15,15,Andres Vidoza,Telling a story with tech.,184000,22929647,135,UUC_NjLEb2Sley94py4vSYTA
16,16,coding celine,"Navigating my 20s as an iOS engineer 🪴

iOS 개발자로 20대 살아남기 🪴



💌 Business Inquiries:
codingceline@gmail.com
",1010,31334,9,UUYR-Y9lEq92-zUlqQY1xeIA
17,17,Synsation,,10200,186388,12,UUtGWXil7NwUA7vIASSXw7Cg
18,18,Darmaine's Day,"Hello everyone and welcome to Darmaine's Day ~ where we talk travel, lifestyle, amd how I fund them!

I'm a senior software engineer, living life ✨ unapologetically ✨ in Melbourne 🇦🇺. I make videos to share my days travelling ✈️, days in the life 💕, and days making money 👩🏽‍💻

📸 IG: @darmainesday
",3250,388911,20,UUqS-KboAgXwAb3b3_dRUxFQ
19,19,Clark Kegley,Helping you create the 2.0 version of you,1100000,43610715,242,UU-dmJ79518WlKMbsu50eMTQ
