,Channel_name,Description,Subscribers,Views,Total_videos,Playlist_id
10,Veritasium,"An element of truth - videos about science, education, and anything else I find interesting.",12300000,1742450365,335,UUHnyfMqiRRG1u-2MsSQLbXA
11,Data Professor,"Data Science, Machine Learning, Bioinformatics, Research and Teaching are my passion. The Data Professor YouTube channel is an extension of my passion in helping students and data enthusiast learn about Data Science and how it can be used to make sense of data. This channel provides Data Science contents consisting of explainer videos and practical tutorials.

Chanin Nantasenamat, Ph.D. is an Associate Professor of Bioinformatics at a Research University where he leads a research laboratory that harnesses data science for unraveling the hidden knowledge of big data in medicine. Chanin has more than 15 years of experience in data science (as applied to bioinformatics) and has published more than 100 research articles, review articles and book chapters.

If you are fascinated about data science, it would mean the world to me if you would consider subscribing to this channel (by clicking the link below):
http://bit.ly/dataprofessor

รศ.ดร.ชนินทร์ นันทเสนามาตร์",128000,3252417,286,UUV8e2g4IWQqK71bbzGDEI4Q
12,Lavendaire,"Hi, I'm Aileen! Lavendaire is a channel about personal growth + lifestyle design, where I share knowledge and inspiration about creating your dream life. ✨

Lavendaire is for the dreamers who believe. For those who are smart, curious, and conscious, with an open mind, a love for learning, and a deep desire to live a brilliant and vibrant life. 

In short, Lavendaire is for the artist of life.

//  Life is an art. Make it your masterpiece.  // 


💝 Shop Lavendaire | http://lavendaire.com/shop
🌸 Listen to my podcast: http://lavendaire.com/llpodcast
💌 Join my email list: http://lavendaire.com/mail

Connect:
▸ website | http://lavendaire.com
▸ instagram | http://instagram.com/lavendaire
▸ tiktok | http://tiktok.com/@lavendaire
▸ facebook | http://facebook.com/lavendaire
▸ twitter | http://twitter.com/lavendaire

Business inquiries ONLY: mgmt@lavendaire.com

Mailbox: 

Aileen Xu
PO Box 296
Brea, CA 92822",1750000,134143792,639,UU-ga3onzHSJFAGsIebtVeBg
13,Sam Lui,"Welcome to my channel!

I recently graduated from college and wanted to try my hand at content creation.

I'd like to publish content anything related to self-improvement, personal finance, career, navigating life after college, and more. If you're interested in any of these topics or just want to watch me make a fool of myself on camera, feel free to tune in.

Disclaimer: My videos are for entertainment purposes only. Please don't sue me.

Follow My YouTube Journey!
0 subscribers - 1/17/2021
100 subscribers - 7/3/2021
500 subscribers - 7/23/2021
1,000 subscribers - 7/29/2021
5,000 subscribers - 8/6/2021
10,000 subscribers - 8/23/2021
",26500,1568862,71,UUMAldwFJLpra2Pt-DF36MCA
14,ColdFusion,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here.
This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere.
Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.

--- New Thinking Book written by Dagogo Altraide ---
Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority!
Audio Book: https://goo.gl/p8auh3
Get the book on Amazon US: http://bit.ly/NewThinkingbook
Amazon India Link: https://goo.gl/qJCC1T
Amazon UK link: https://goo.gl/RBxisf
Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay

MERCH:

INTERNATIONAL: https://store.coldfusioncollective.com/
AUSTRALIA: https://shop.coldfusioncollective.com/

Contact | *Business ONLY* dagogo@coldfusioncollective.com

Join the fun on instagram: 

@ColdFusiontv

Facebook | www.facebook.com/coldfusiontv",3560000,353206405,429,UU4QZ_LsYcvcq7qOsOhpAX4A
15,Andres Vidoza,Telling a story with tech.,184000,22929647,135,UUC_NjLEb2Sley94py4vSYTA
16,coding celine,"Navigating my 20s as an iOS engineer 🪴

iOS 개발자로 20대 살아남기 🪴



💌 Business Inquiries:
codingceline@gmail.com
",1010,31334,9,UUYR-Y9lEq92-zUlqQY1xeIA
17,Synsation,,10200,186388,12,UUtGWXil7NwUA7vIASSXw7Cg
18,Darmaine's Day,"Hello everyone and welcome to Darmaine's Day ~ where we talk travel, lifestyle, amd how I fund them!

I'm a senior software engineer, living life ✨ unapologetically ✨ in Melbourne 🇦🇺. I make videos to share my days travelling ✈️, days in the life 💕, and days making money 👩🏽‍💻

📸 IG: @darmainesday
",3250,388911,20,UUqS-KboAgXwAb3b3_dRUxFQ
19,Clark Kegley,Helping you create the 2.0 version of you,1100000,43610715,242,UU-dmJ79518WlKMbsu50eMTQ
